0.254121,210.958904
0.065096,179.197623
0.265588,281.250000
0.369294,220.110497
0.792271,162.948816
0.082830,941.155235
0.257707,313.427948
0.119280,947.482014
0.416650,199.193548
0.131890,800.757576
0.595252,157.400722
0.209707,183.514100
0.121349,673.608247
0.104902,327.935223
0.153148,573.293769
0.081989,771.428571
0.419902,255.546559
0.513435,163.912010
0.185075,377.528090
0.140327,952.688172
0.351059,281.285444
0.182687,460.769231
0.179637,356.541020
0.545645,173.746313
0.076012,735.059761
0.292249,573.394495
0.048936,871.661238
0.643213,65.569918
0.879203,134.162679
0.610992,239.707317
0.226581,493.373494
0.355569,554.439252
0.082004,467.336683
0.347790,172.475028
0.148251,480.000000
0.172134,482.315113
0.167366,541.592920
0.333081,251.497006
0.263374,354.977376
0.320894,278.169542
0.243436,392.481203
0.076684,266.782007
0.073701,328.827362
0.535439,161.386139
0.146380,206.919643
0.307324,435.000000
1.203350,104.263357
0.058772,706.862745
0.048513,811.764706
0.922359,274.817518
0.567795,84.932088
0.479380,161.046512
0.234451,554.494382
0.135372,319.512195
0.407517,237.417219
0.169081,348.128342
0.427967,176.775050
0.064339,413.554987
0.360715,81.663516
0.394464,254.509804
0.245510,307.068063
0.156672,632.915361
0.299891,187.078652
0.136585,441.693811
0.247973,160.899654
0.240974,258.073270
0.308541,197.972973
0.223521,572.924188
0.342399,192.445583
0.245636,297.774481
0.284421,267.052023
0.242464,377.253219
0.262675,413.549337
0.232448,309.202454
0.079083,255.627010
0.324984,235.736354
0.241719,266.265060
0.087086,494.000000
0.171620,603.183024
0.647449,135.217092
0.132445,507.317073
0.137584,517.002882
0.283731,330.927835
0.317686,100.212766
0.475460,180.910543
0.228422,548.638132
0.094404,247.680000
0.077398,179.220779
0.544201,148.181818
0.225969,308.507463
0.394902,277.792208
0.095318,419.653179
0.424663,172.535211
0.615148,130.341662
0.087261,643.080940
0.144744,525.760649
0.269931,630.468750
0.253851,340.217391
0.341446,116.524702
0.285849,331.047152
0.344410,209.266802
0.158174,388.235294
0.106274,612.244898
